127.0.0.1 54583 M [02/Aug/2025:14:19:36 +1000] "GET http://httpbin.org/get?foo=bar HTTP/1.1" 200 282
127.0.0.1 54589 - [02/Aug/2025:14:19:59 +1000] "HEAD http://httpbin.org/get HTTP/1.1" 200 0
127.0.0.1 54592 - [02/Aug/2025:14:20:12 +1000] "POST http://httpbin.org/post HTTP/1.1" 200 446
127.0.0.1 54596 M [02/Aug/2025:14:20:24 +1000] "GET http://httpbin.org/stream/5 HTTP/1.1" 200 1160
127.0.0.1 54599 M [02/Aug/2025:14:20:40 +1000] "GET http://httpbin.org/cache/3 HTTP/1.1" 200 258
127.0.0.1 54601 H [02/Aug/2025:14:20:40 +1000] "GET http://httpbin.org/cache/3 HTTP/1.1" 200 258
127.0.0.1 54604 M [02/Aug/2025:14:20:52 +1000] "GET http://httpbin.org/bytes/600 HTTP/1.1" 200 600
127.0.0.1 54606 H [02/Aug/2025:14:20:52 +1000] "GET http://httpbin.org/bytes/600 HTTP/1.1" 200 600
127.0.0.1 54607 H [02/Aug/2025:14:20:52 +1000] "GET http://httpbin.org/bytes/600 HTTP/1.1" 200 600
127.0.0.1 54641 - [02/Aug/2025:14:22:37 +1000] "CONNECT www.google.com:443 HTTP/1.1" 200 0
127.0.0.1 54783 - [02/Aug/2025:14:28:48 +1000] "GET http://127.0.0.1:65000/ HTTP/1.1" 502 18
127.0.0.1 54810 M [02/Aug/2025:14:29:45 +1000] "GET http://httpbin.org/get?x=1 HTTP/1.1" 200 274
127.0.0.1 54823 H [02/Aug/2025:14:30:04 +1000] "GET http://httpbin.org/get?x=1 HTTP/1.1" 200 274
127.0.0.1 54833 - [02/Aug/2025:14:30:37 +1000] "HEAD http://httpbin.org/get?x=5 HTTP/1.1" 200 0
127.0.0.1 54943 M [02/Aug/2025:14:35:37 +1000] "GET http://httpbin.org/get HTTP/1.1" 200 317
127.0.0.1 54945 - [02/Aug/2025:14:35:38 +1000] "HEAD http://httpbin.org/get HTTP/1.1" 200 0
127.0.0.1 54947 - [02/Aug/2025:14:35:38 +1000] "POST http://httpbin.org/post HTTP/1.1" 200 487
127.0.0.1 55250 M [02/Aug/2025:14:44:49 +1000] "GET http://httpbin.org/get HTTP/1.1" 200 317
127.0.0.1 55252 - [02/Aug/2025:14:44:50 +1000] "HEAD http://httpbin.org/get HTTP/1.1" 200 0
127.0.0.1 55254 - [02/Aug/2025:14:44:50 +1000] "POST http://httpbin.org/post HTTP/1.1" 200 487
127.0.0.1 55256 - [02/Aug/2025:14:44:50 +1000] "GET  HTTP/1.1" 400 17
127.0.0.1 55297 M [02/Aug/2025:14:46:58 +1000] "GET http://httpbin.org/get HTTP/1.1" 200 317
127.0.0.1 55299 - [02/Aug/2025:14:46:58 +1000] "HEAD http://httpbin.org/get HTTP/1.1" 200 0
127.0.0.1 55301 - [02/Aug/2025:14:46:59 +1000] "POST http://httpbin.org/post HTTP/1.1" 200 487
127.0.0.1 55304 - [02/Aug/2025:14:46:59 +1000] "GET  HTTP/1.1" 400 17
127.0.0.1 55427 M [02/Aug/2025:14:53:20 +1000] "GET http://httpbin.org/delay/2 HTTP/1.1" 200 367
127.0.0.1 55451 H [02/Aug/2025:14:53:20 +1000] "GET http://httpbin.org/delay/2 HTTP/1.1" 200 367
127.0.0.1 55452 H [02/Aug/2025:14:53:20 +1000] "GET http://httpbin.org/delay/2 HTTP/1.1" 200 367
127.0.0.1 55432 M [02/Aug/2025:14:53:20 +1000] "GET http://httpbin.org/delay/2 HTTP/1.1" 200 367
127.0.0.1 55453 H [02/Aug/2025:14:53:20 +1000] "GET http://httpbin.org/delay/2 HTTP/1.1" 200 367
127.0.0.1 55454 H [02/Aug/2025:14:53:20 +1000] "GET http://httpbin.org/delay/2 HTTP/1.1" 200 367
127.0.0.1 55456 H [02/Aug/2025:14:53:20 +1000] "GET http://httpbin.org/delay/2 HTTP/1.1" 200 367
127.0.0.1 55455 H [02/Aug/2025:14:53:20 +1000] "GET http://httpbin.org/delay/2 HTTP/1.1" 200 367
127.0.0.1 55434 M [02/Aug/2025:14:53:20 +1000] "GET http://httpbin.org/delay/2 HTTP/1.1" 200 367
127.0.0.1 55457 H [02/Aug/2025:14:53:20 +1000] "GET http://httpbin.org/delay/2 HTTP/1.1" 200 367
127.0.0.1 55458 H [02/Aug/2025:14:53:20 +1000] "GET http://httpbin.org/delay/2 HTTP/1.1" 200 367
127.0.0.1 55459 H [02/Aug/2025:14:53:20 +1000] "GET http://httpbin.org/delay/2 HTTP/1.1" 200 367
127.0.0.1 55460 H [02/Aug/2025:14:53:20 +1000] "GET http://httpbin.org/delay/2 HTTP/1.1" 200 367
127.0.0.1 55433 M [02/Aug/2025:14:53:20 +1000] "GET http://httpbin.org/delay/2 HTTP/1.1" 200 367
127.0.0.1 55461 H [02/Aug/2025:14:53:20 +1000] "GET http://httpbin.org/delay/2 HTTP/1.1" 200 367
127.0.0.1 55462 H [02/Aug/2025:14:53:20 +1000] "GET http://httpbin.org/delay/2 HTTP/1.1" 200 367
127.0.0.1 55463 H [02/Aug/2025:14:53:20 +1000] "GET http://httpbin.org/delay/2 HTTP/1.1" 200 367
127.0.0.1 55464 H [02/Aug/2025:14:53:20 +1000] "GET http://httpbin.org/delay/2 HTTP/1.1" 200 367
127.0.0.1 55465 H [02/Aug/2025:14:53:20 +1000] "GET http://httpbin.org/delay/2 HTTP/1.1" 200 367
127.0.0.1 55466 H [02/Aug/2025:14:53:20 +1000] "GET http://httpbin.org/delay/2 HTTP/1.1" 200 367
127.0.0.1 55467 H [02/Aug/2025:14:53:20 +1000] "GET http://httpbin.org/delay/2 HTTP/1.1" 200 367
127.0.0.1 55468 H [02/Aug/2025:14:53:20 +1000] "GET http://httpbin.org/delay/2 HTTP/1.1" 200 367
127.0.0.1 55469 H [02/Aug/2025:14:53:20 +1000] "GET http://httpbin.org/delay/2 HTTP/1.1" 200 367
127.0.0.1 55470 H [02/Aug/2025:14:53:20 +1000] "GET http://httpbin.org/delay/2 HTTP/1.1" 200 367
127.0.0.1 55472 H [02/Aug/2025:14:53:20 +1000] "GET http://httpbin.org/delay/2 HTTP/1.1" 200 367
127.0.0.1 55471 H [02/Aug/2025:14:53:20 +1000] "GET http://httpbin.org/delay/2 HTTP/1.1" 200 367
127.0.0.1 55473 H [02/Aug/2025:14:53:20 +1000] "GET http://httpbin.org/delay/2 HTTP/1.1" 200 367
127.0.0.1 55475 H [02/Aug/2025:14:53:20 +1000] "GET http://httpbin.org/delay/2 HTTP/1.1" 200 367
127.0.0.1 55474 H [02/Aug/2025:14:53:20 +1000] "GET http://httpbin.org/delay/2 HTTP/1.1" 200 367
127.0.0.1 55476 H [02/Aug/2025:14:53:20 +1000] "GET http://httpbin.org/delay/2 HTTP/1.1" 200 367
127.0.0.1 55477 H [02/Aug/2025:14:53:20 +1000] "GET http://httpbin.org/delay/2 HTTP/1.1" 200 367
127.0.0.1 55478 H [02/Aug/2025:14:53:20 +1000] "GET http://httpbin.org/delay/2 HTTP/1.1" 200 367
127.0.0.1 55479 H [02/Aug/2025:14:53:20 +1000] "GET http://httpbin.org/delay/2 HTTP/1.1" 200 367
127.0.0.1 55480 H [02/Aug/2025:14:53:20 +1000] "GET http://httpbin.org/delay/2 HTTP/1.1" 200 367
127.0.0.1 55481 H [02/Aug/2025:14:53:20 +1000] "GET http://httpbin.org/delay/2 HTTP/1.1" 200 367
127.0.0.1 55483 H [02/Aug/2025:14:53:20 +1000] "GET http://httpbin.org/delay/2 HTTP/1.1" 200 367
127.0.0.1 55484 H [02/Aug/2025:14:53:20 +1000] "GET http://httpbin.org/delay/2 HTTP/1.1" 200 367
127.0.0.1 55485 H [02/Aug/2025:14:53:20 +1000] "GET http://httpbin.org/delay/2 HTTP/1.1" 200 367
127.0.0.1 55486 H [02/Aug/2025:14:53:20 +1000] "GET http://httpbin.org/delay/2 HTTP/1.1" 200 367
127.0.0.1 55487 H [02/Aug/2025:14:53:20 +1000] "GET http://httpbin.org/delay/2 HTTP/1.1" 200 367
127.0.0.1 55431 M [02/Aug/2025:14:53:20 +1000] "GET http://httpbin.org/delay/2 HTTP/1.1" 200 367
127.0.0.1 55488 H [02/Aug/2025:14:53:20 +1000] "GET http://httpbin.org/delay/2 HTTP/1.1" 200 367
127.0.0.1 55482 H [02/Aug/2025:14:53:20 +1000] "GET http://httpbin.org/delay/2 HTTP/1.1" 200 367
